1,2,3,4,5,6,plot,species,number
23.12536054,150.9968204,137.0732524,8.201839038,0.915551939,1.577369067,1,0,1
15.19342218,45.38486583,75.75953107,6.893586924,0.036881361,18.79025843,1,0,2
18.5019006,60.12207995,118.2665846,8.956458624,2.005860796,20.41283008,1,0,3
17.49520709,93.33032777,148.1750369,11.33607423,0.452744938,20.65549243,1,0,4
11.5,53.47646313,78.84239934,5.689540025,0.565077512,1.71168115,1,1,1
14.4,99.74216547,95.42043442,6.813780302,1.040879126,0.91461689,1,1,2
7.5,63.4907351,58.10302553,4.016014488,1.01922859,0.467456911,1,1,3
9.84,33.76365916,61.83793026,4.278198252,0.353310722,21.50162764,1,1,4
,,,,,,1,2,1
,,,,,,1,2,2
,,,,,,1,2,3
,,,,,,1,2,4
14.3,36.40429296,83.05607367,5.997544055,0,26.09791247,1,3,1
18.7,74.50151486,99.93476816,7.484147753,0.702904794,1.84445911,1,3,2
9.85,17.83881054,50.34774669,4.166055055,0.389772727,21.22838505,1,3,3
10.2,41.55290876,54.52076203,4.414748404,0.218961099,0.931382886,1,3,4
24.5657928,140.3484091,160.3550196,11.08519916,1.088373156,2.364102805,2,0,1
7.090151598,56.02656818,93.04107168,6.288209709,0.90862577,2.682309785,2,0,2
18.34514874,66.05678105,119.6087826,9.142950805,0.401392445,7.768707061,2,0,3
11.18484607,90.56984203,116.5652564,7.890118208,0.675563576,1.42996715,2,0,4
15.4,42.49274056,94.77628447,7.445684258,0.401324959,24.61157479,2,1,1
15.7,74.76861465,100.3745027,7.227587646,1.526266512,3.318760844,2,1,2
6.96,39.99144953,67.32669492,5.349346972,0.410564436,18.69590993,2,1,3
11.2,40.80622392,59.6397534,4.811071747,0.865458786,22.93666939,2,1,4
6.330285914,42.8090032,57.09157544,4.119147162,0.764153863,0.512213884,2,2,1
4.807958464,24.28528365,35.31728633,2.623441667,0.584419097,0.670250398,2,2,2
8.98,62.05067957,68.43508463,4.55309124,1.22543662,0.683586661,2,2,3
9.5,59.82853512,67.47058099,4.649204429,0.647385304,0.577427683,2,3,1
9.42,28.37849712,46.59447454,3.653439684,0.318817445,26.09791247,2,3,2
9.11,40.77341965,55.88394494,4.679700925,0.344057679,18.34706884,2,3,3
9.12,71.97260001,71.71080886,4.945605518,0.628307023,0.535574736,2,3,4
12.32850691,27.95123316,92.14128587,6.480944354,0.494400088,21.68147664,3,0,1
11.06327716,62.2174011,108.4280291,8.389637108,0.689993518,11.2968169,3,0,2
19.01574847,68.54960172,120.3392388,9.147321442,0.430290812,5.541682719,3,0,3
11.18484607,60.69083241,110.424389,7.801151151,0.415908573,5.420157709,3,0,4
4.88,25.84590369,37.65769395,2.74039637,0.503658866,1.493363752,3,1,1
9.46,36.29095464,49.84342297,3.548738339,0.414887399,2.501774278,3,1,2
10.5,84.87368256,100.8186222,7.003248855,0.930368469,0.936541971,3,1,3
8.21,67.18443343,70.0527308,4.986855694,1.124914929,0.644267216,3,1,4
8.71,56.23167562,71.62383711,5.181309268,1.071470146,0.554374525,3,2,1
5.21,26.41784687,39.38087579,3.040098705,0.580972126,0.481280101,3,2,2
10.5813185,58.08515425,96.86124054,6.756803614,1.054334149,0.588522975,3,2,3
11.9,72.05164858,95.19515308,6.874866795,0.526862686,1.033990276,3,3,1
18.7,72.06759648,93.38769324,7.032340311,0.546428177,1.816716077,3,3,2
10.1,65.72313352,77.29018391,6.398420229,0,20.80380612,3,3,3
11.5,45.92218133,84.93371941,6.081765523,0.155106625,0.948413859,3,3,4
